latitude,longitude
42.274607667,-71.816881833
42.274593,-71.816839667
42.274592,-71.816828833
42.274598833,-71.816817833
42.274596833,-71.816794667
42.274594667,-71.8167725
42.274590833,-71.816762667
42.274594,-71.816769
42.274596,-71.816780833
42.274596667,-71.816791833
42.2745975,-71.816804167
42.274594,-71.8168095
42.274592667,-71.816817
42.274593167,-71.8168395
42.274593167,-71.8168395
42.274570167,-71.816829167
42.274570167,-71.816829167
42.274570167,-71.816829167
42.274570167,-71.816829167
42.274570167,-71.816829167
42.274642167,-71.816866167
42.274659333,-71.816885167
42.274678667,-71.816897333
42.274690333,-71.816891333
42.274707833,-71.81689
42.274719667,-71.8168965
42.274730833,-71.816895
42.274742167,-71.816891
42.274754667,-71.816890833
42.274767,-71.816888667
42.2747915,-71.816886667
42.274803667,-71.816886667
42.274816167,-71.816882833
42.2748275,-71.816877
42.274838833,-71.816874833
42.274851333,-71.816878333
42.274864,-71.816879
42.274881833,-71.816906333
42.274893167,-71.816904
42.274903167,-71.816903667
42.274903167,-71.816903667
42.274903167,-71.816903667
42.274903167,-71.816903667
42.274903167,-71.816903667
42.274903167,-71.816903667
42.274995,-71.816864667
42.275004667,-71.816867
42.275015333,-71.816867333
42.2750255,-71.816857333
42.275037167,-71.816862667
42.275037167,-71.816862667
42.2750485,-71.816858667
42.275058333,-71.816857333
42.275093333,-71.816845667
42.275107,-71.816843833
42.275118167,-71.816842333
42.275128667,-71.816842333
42.275139167,-71.816835667
42.275152667,-71.816827667
42.2751615,-71.816824667
42.275171667,-71.816824
42.275181333,-71.8168215
42.275193167,-71.816822667
42.275193167,-71.816822667
42.275193167,-71.816822667
42.275193167,-71.816822667
42.275258,-71.816815
42.2752695,-71.816813167
42.27528,-71.816813333
42.275291,-71.816809167
42.275304667,-71.816807167
42.2753135,-71.816804167
42.275327167,-71.816801833
42.27535,-71.816797
42.275412167,-71.816777667
42.2754255,-71.816776
42.275438667,-71.816773167
42.275453,-71.816769333
42.275465667,-71.816764833
42.2754795,-71.816758833
42.275492167,-71.816754167
42.275503667,-71.816750167
42.275518333,-71.8167465
42.275531167,-71.816741167
42.275538667,-71.816739333
42.275550167,-71.816735
42.275550167,-71.816735
42.275550167,-71.816735
42.275550167,-71.816735
42.275550167,-71.816735
42.275550167,-71.816735
42.275550167,-71.816735
42.275641167,-71.8167115
42.2756545,-71.8167075
42.275667333,-71.816705333
42.275679,-71.816701
42.275690667,-71.816696833
42.275703667,-71.816693667
42.275793,-71.816655833
42.275805333,-71.816648833
42.275818,-71.816640667
42.275829833,-71.816630333
42.275841333,-71.816621
42.275849833,-71.8166095
42.275864167,-71.8165985
42.275888,-71.816579333
42.2758975,-71.816566333
42.275907167,-71.816553667
42.275918,-71.816541833
42.2759265,-71.816530167
42.275935833,-71.816518
42.275945,-71.816505833
42.275945,-71.816505833
42.275945,-71.816505833
42.275945,-71.816505833
42.275978667,-71.816450667
42.275978667,-71.816450667
42.275978667,-71.816450667
42.275978667,-71.816450667
42.275978667,-71.816450667
42.276018833,-71.816377167
42.2760245,-71.816363
42.2760305,-71.816348167
42.276035333,-71.816333667
42.276039667,-71.8163175
42.276043167,-71.8163005
42.2760475,-71.816284167
42.276049667,-71.816269667
42.2760945,-71.816133
42.2760945,-71.816149667
42.276091333,-71.8161685
42.2760865,-71.816186667
42.276084833,-71.816205167
42.276084833,-71.816223667
42.276087167,-71.8162415
42.276090167,-71.816257333
42.276092833,-71.816273667
42.276092833,-71.816273667
42.276092833,-71.816273667
42.276092833,-71.816273667
42.276092833,-71.816273667
42.276087667,-71.816363333
42.276085167,-71.816381
42.276081167,-71.816398333
42.276051,-71.816441167
42.276006333,-71.8165135
42.275998167,-71.816525333
42.275988667,-71.816537667
42.275976667,-71.816549833
42.2759665,-71.816564667
42.275954667,-71.816576833
42.275946,-71.8165905
42.275935667,-71.816603
42.275925833,-71.816617667
42.275913833,-71.8166295
42.275913833,-71.8166295
42.275913833,-71.8166295
42.275913833,-71.8166295
42.275864833,-71.8166725
